Doc_id,Question,Answer
39.txt_chunk1,Đại học Quốc gia Hà Nội được thành lập vào thời gian nào?,Không rõ từ thời gian nào
39.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu trường đại học thành viên?,Không rõ số lượng
39.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu trường trực thuộc?,Không rõ số lượng
39.txt_chunk1,Đại học Quốc gia Hà Nội có bao nhiêu trung tâm đào tạo trực thuộc?,Không rõ số lượng
39.txt_chunk2,Đại học Quốc gia Hà Nội chỉ đạo và điều hành thống nhất công tác quản lý và tổ chức đào tạo theo cơ chế nào?,"Cơ chế mở, liên thông, liên kết và hợp tác"
39.txt_chunk2,Các đơn vị đào tạo có nhiệm vụ đào tạo các ngành học theo danh mục ngành đào tạo của Nhà nước và thí điểm đào tạo các ngành mới nhằm cung cấp nguồn nhân lực chất lượng cao và bồi dưỡng nhân tài cho đất nước trong lĩnh vực nào?,"Khoa học cơ bản, công nghệ cao"
39.txt_chunk3,Đại học Quốc gia Hà Nội được thành lập theo quy định nào?,"Theo Điều 1 của tài liệu, Đại học Quốc gia Hà Nội được thành lập theo quy định về quản lý đào tạo và nghiên cứu khoa học"
39.txt_chunk3,"Các đơn vị đào tạo báo cáo Đại học Quốc gia Hà Nội về tình hình quản lý, tổ chức và kết quả đào tạo sau mỗi học kỳ theo quy định nào?","Theo Điều 7 của tài liệu, các đơn vị đào tạo báo cáo Đại học Quốc gia Hà"
39.txt_chunk4,"Môn học là một phần kiến thức tương đối trọn vẹn của một bộ môn khoa học, được thiết kế thuận tiện để người học tích lũy dần toàn bộ kiến thức của một chương trình đào tạo trong quá trình học tập trong bao lâu?",một học kỳ
39.txt_chunk4,Môn học có mã riêng do Đại học Quốc gia Hà Nội quy định có khối lượng kiến thức từ bao nhiêu đến bao nhiêu tín chỉ?,2 đến 5
39.txt_chunk5,Đại học Quốc gia Hà Nội có bao nhiêu chương trình đào tạo?,15 chương trình đào tạo
39.txt_chunk5,Đại học Quốc gia Hà Nội có bao nhiêu hình thức đào tạo?,2 hình thức đào tạo
39.txt_chunk5,"Các chương trình đào tạo chất lượng cao, tài năng, đạt chuẩn quốc tế, bằng kép, văn bằng thứ hai, liên thông có thể đào tạo theo hình thức nào?",Đào tạo chính quy
39.txt_chunk6,"Nhà nước cấp trực tiếp tiền hỗ trợ miễn, giảm học phí cho các đối tượng được miễn, giảm theo quy định hiện hành của Nhà nước vào thời điểm nào?",Theo quy định hiện hành
39.txt_chunk6,Đại học Quốc gia Hà Nội quy định tỷ lệ và định mức sử dụng kinh phí đào tạo theo khoản nào?,Điều 2
62.txt_chunk1,Sự kiện được tổ chức trên website nào?,canva
62.txt_chunk1,Địa điểm tổ chức sự kiện là khu vực nào?,tuyển sinh Đại học Tung Tran
62.txt_chunk1,Kích thước hình ảnh được sử dụng cho sự kiện là bao nhiêu?,720 × 480 px
62.txt_chunk1,Ngày và tháng tổ chức sự kiện là bao nhiêu?,07/05/2025
62.txt_chunk1,Số phiên bản của Adobe được sử dụng là bao nhiêu?,1
62.txt_chunk2,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk2,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk2,Địa điểm nào tổ chức sự kiện?,PPG Arena
62.txt_chunk2,Ngày tổ chức sự kiện là ngày nào?,13 tháng 10
62.txt_chunk2,Thành phố nào có sự kiện?,Pittsburgh
62.txt_chunk2,Đại học nào có liên quan đến sự kiện?,Đại học Carnegie Mellon
62.txt_chunk3,Đại học Carnegie Mellon được thành lập ở đâu?,Pittsburgh
62.txt_chunk3,Thành phố Pittsburgh có tên theo ai?,William Pitt
62.txt_chunk4,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk4,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk4,Địa điểm tổ chức sự kiện là PPG Arena?,Có
62.txt_chunk4,Ngày tổ chức sự kiện là ngày 13 tháng 10?,Có
62.txt_chunk4,Có bao nhiêu câu hỏi và trả lời trong tài liệu?,Khoảng 10 câu
62.txt_chunk5,Đại học Carnegie Mellon được thành lập năm nào?,1900
62.txt_chunk5,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
62.txt_chunk5,Địa điểm tổ chức sự kiện là PPG Arena?,Có
62.txt_chunk5,Ngày tổ chức sự kiện là ngày 13 tháng 10?,Có
62.txt_chunk5,Đại học Carnegie Mellon có liên quan đến sự kiện không?,Có
62.txt_chunk5,Thành phố Pittsburgh có liên quan đến sự kiện không?,Có
62.txt_chunk6,Thành phố Pittsburgh được đặt tên theo ai?,William Pitt
